coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
eth,689,-43,15,9,13,4,9,12.8,-10.6,"""[3.58, 20.31, 16.72, 10.64]""","""[-15.12, -17.09, -12.02, -11.99, -11.23, -9.7, -2.37, -10.35, -5.25]""",-1.9
eth,689,-22,15,10,9,4,5,10.0,-12.4,"""[0.36, 20.31, 11.13, 8.12]""","""[-26.26, -12.02, -4.57, -11.39, -7.77]""",-1.0
eth,689,-3,15,11,7,3,4,10.2,-8.4,"""[16.96, 12.83, 0.73]""","""[-2.59, -12.82, -6.9, -11.25]""",-0.1
eth,689,-15,15,12,6,2,4,11.2,-9.5,"""[11.14, 11.34]""","""[-6.6, -21.47, -0.48, -9.42]""",-0.7
eth,689,-25,15,13,6,2,4,8.0,-10.4,"""[6.68, 9.37]""","""[-7.88, -21.47, -2.28, -10.14]""",-1.1
eth,689,-45,15,14,6,2,4,3.5,-13.2,"""[1.34, 5.6]""","""[-12.56, -21.47, -7.83, -10.84]""",-2.0
eth,689,-10,15,15,4,1,3,25.9,-12.0,"""[25.89]""","""[-2.85, -21.47, -11.65]""",-0.4
eth,689,-15,15,16,4,1,3,25.9,-13.8,"""[25.89]""","""[-5.99, -22.63, -12.88]""",-0.7
eth,689,-21,15,17,4,1,3,25.1,-15.5,"""[25.11]""","""[-9.87, -23.7, -12.88]""",-0.9
eth,689,-32,15,18,4,1,3,23.5,-18.6,"""[23.5]""","""[-15.01, -27.23, -13.52]""",-1.4
eth,689,-28,15,19,3,1,2,23.5,-25.9,"""[23.5]""","""[-21.31, -30.49]""",-1.2
eth,689,-21,15,20,3,1,2,30.1,-25.9,"""[30.15]""","""[-21.31, -30.49]""",-0.9
eth,689,0,15,21,2,1,1,25.1,-25.8,"""[25.11]""","""[-25.83]""",-0.0
eth,689,-5,15,22,2,1,1,20.9,-26.8,"""[20.92]""","""[-26.85]""",-0.3
eth,689,38,16,7,15,6,9,18.5,-8.1,"""[1.06, 36.76, 18.7, 20.06, 1.65, 32.87]""","""[-9.19, -13.27, -6.7, -8.44, -4.89, -10.46, -9.38, -7.6, -2.81]""",1.7
eth,689,-16,16,8,13,4,9,15.3,-8.6,"""[5.25, 27.69, 17.54, 10.64]""","""[-13.12, -15.95, -6.7, -9.99, -8.61, -9.38, -0.72, -8.98, -3.87]""",-0.7
eth,689,0,16,9,9,4,5,11.1,-9.0,"""[1.16, 20.31, 12.33, 10.64]""","""[-15.47, -12.02, -2.37, -10.35, -4.85]""",-0.0
eth,689,-8,16,10,8,4,4,10.2,-12.4,"""[0.36, 20.31, 11.13, 8.99]""","""[-22.51, -12.02, -4.57, -10.38]""",-0.4
eth,689,-6,16,11,7,3,4,9.7,-8.8,"""[16.96, 11.34, 0.73]""","""[-4.36, -12.82, -6.9, -11.25]""",-0.3
eth,689,-16,16,12,6,2,4,11.2,-9.8,"""[11.14, 11.34]""","""[-7.78, -21.47, -0.48, -9.42]""",-0.7
eth,689,-27,16,13,6,2,4,7.7,-10.8,"""[6.68, 8.75]""","""[-9.84, -21.47, -2.28, -9.78]""",-1.2
eth,689,-33,16,14,5,2,3,3.5,-13.4,"""[1.34, 5.6]""","""[-21.47, -7.83, -10.84]""",-1.4
eth,689,-39,16,15,5,1,4,5.6,-11.2,"""[5.6]""","""[-2.85, -21.47, -8.92, -11.65]""",-1.7
eth,689,-16,16,16,4,1,3,25.1,-13.8,"""[25.11]""","""[-5.99, -22.63, -12.88]""",-0.7
eth,689,-23,16,17,4,1,3,23.5,-15.8,"""[23.5]""","""[-9.87, -24.74, -12.88]""",-1.0
eth,689,-31,16,18,4,1,3,23.5,-18.3,"""[23.5]""","""[-15.01, -26.49, -13.31]""",-1.4
eth,689,-29,16,19,3,1,2,22.3,-25.9,"""[22.33]""","""[-21.31, -30.49]""",-1.3
eth,689,-4,16,20,2,1,1,20.9,-25.8,"""[20.92]""","""[-25.83]""",-0.2
eth,689,-4,16,21,2,1,1,20.9,-25.8,"""[20.92]""","""[-25.83]""",-0.2
eth,689,-7,16,22,2,1,1,20.9,-28.8,"""[20.92]""","""[-28.84]""",-0.3
eth,689,41,17,7,15,6,9,19.0,-8.1,"""[5.25, 36.76, 18.7, 20.06, 1.65, 31.4]""","""[-9.19, -13.27, -6.7, -8.44, -4.89, -10.46, -9.38, -7.6, -2.75]""",1.8
eth,689,-7,17,8,12,4,8,15.3,-8.6,"""[5.25, 27.69, 17.74, 10.64]""","""[-13.61, -15.95, -6.7, -9.48, -9.38, -0.72, -8.98, -3.87]""",-0.3
eth,689,3,17,9,9,4,5,12.6,-9.3,"""[1.16, 26.16, 12.33, 10.64]""","""[-17.3, -12.02, -2.37, -10.04, -4.82]""",0.2
eth,689,-21,17,10,9,3,6,12.5,-9.9,"""[20.31, 7.32, 9.89]""","""[-22.51, -1.0, -12.02, -4.57, -11.39, -7.77]""",-0.9
eth,689,-6,17,11,7,3,4,9.7,-8.8,"""[16.96, 11.34, 0.73]""","""[-4.36, -12.82, -6.9, -11.25]""",-0.3
eth,689,-18,17,12,6,2,4,11.2,-10.3,"""[11.14, 11.34]""","""[-9.84, -21.47, -0.48, -9.42]""",-0.8
eth,689,-31,17,13,6,2,4,6.0,-10.9,"""[4.41, 7.68]""","""[-9.84, -21.47, -2.28, -10.14]""",-1.4
eth,689,-33,17,14,5,2,3,3.5,-13.4,"""[1.34, 5.6]""","""[-21.47, -7.83, -10.84]""",-1.4
eth,689,-11,17,15,4,1,3,25.9,-12.5,"""[25.89]""","""[-3.34, -22.63, -11.65]""",-0.5
eth,689,-16,17,16,4,1,3,25.1,-13.8,"""[25.11]""","""[-5.99, -22.63, -12.88]""",-0.7
eth,689,-24,17,17,4,1,3,23.5,-16.0,"""[23.5]""","""[-9.87, -25.37, -12.88]""",-1.1
eth,689,-13,17,18,3,1,2,30.1,-21.7,"""[30.15]""","""[-15.01, -28.43]""",-0.6
eth,689,-22,17,19,3,1,2,29.8,-25.9,"""[29.78]""","""[-21.31, -30.49]""",-1.0
eth,689,-4,17,20,2,1,1,20.9,-25.8,"""[20.92]""","""[-25.83]""",-0.2
